FMID|MarketName|Website|Street|City|County|State|Zip|Schedule|x|y|Location|Credit|WIC|WICcash|SFMNP|SNAP|Bakedgoods|Cheese|Crafts|Flowers|Eggs|Seafood|Herbs|Vegetables|Honey|Jams|Maple|Meat|Nursery|Nuts|Plants|Poultry|Prepared|Soap|Trees|Wine|updateTime
1003711|97th Street Greenmarket|http://www.grownyc.org|W 97 St. & Columbus|New York|New York|New York|10025|January - December Friday 8:00 AM to 2:00 PM|-73.967012|40.79356|Other|Y|Y|Y|Y|Y|Y|Y|N|N|N|Y|Y|Y|N|N|N|Y|N|N|N|Y|N|N|N|N|5/18/2012 3:38:06 PM
22003160|9th Street Farmers Market||Roy Wilkinson Boulevard (9th & Chestnut Street)|Louisville|Jefferson|Kentucky|40203||-85.7724|38.248||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
1002215|A Better Choice Bakery & Market|http://www.ABetterChoiceBakery.com|27 W Potomac Street|Brunswick|Frederick|Maryland|21716|January - December Monday - Friday 12:00 PM to 5:00 PM, Saturday 10:00 AM to 5:00 PM, Sunday 12:00 PM to 5:00 PM|-77.6277075|39.313066|Co-located with wholesale market facility|Y|N|N|N|N|Y|Y|Y|N|Y|N|Y|Y|Y|Y|Y|Y|N|N|N|Y|Y|Y|N|N|5/3/2012 5:01:00 PM
1001334|A Kentucky Farmer's Market LLC||2349 S Hwy 127|Russell Springs|Russell|Kentucky|42642|June - October Tuesday 7:00 AM to 4:00 PM, Friday 7:00 AM to 4:00 PM, Saturday 7:00 AM to 2:00 PM, (7 am until sellout or 4pm)|-85.076795|37.032535|Private business parking lot|N|Y|N|Y|N|N|N|Y|N|N|N|N|Y|Y|Y|N|N|N|N|N|N|N|N|N|N|4/27/2012 11:26:57 PM
22004181|AAMC Farmers's Market||2001 Medical Parkway, Sajak Pavilion|Annapolis|Anne Arundel|Maryland|21401||-76.6123|39.006||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|7/23/2011 11:54:21 PM
22001479|Abacoa Town Center Green Market||East of Donald Ross Road, Exit off I-95|Jupiter|Palm Beach|Florida|33478||-80.1296|26.8838||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
21000528|Abbeville Farmers Market||118 Trinity Street at Livery Stable|Abbeville|Abbeville|South Carolina|29620|January - December Friday 7:00 am to 12:00 pm|-82.3811|34.176|Local government building grounds|N|N|N|Y|N|Y|Y|N|Y|N|N|Y|Y|Y|Y|N|Y|N|N|Y|N|N|Y|N|N|4/4/2011 3:44:34 PM
22004648|ABBEVILLE FARMERS MARKET||100 COLUMBIA RD.|ABBEVILLE|HENRY|Alabama|36310||-85.2466|31.5633||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2011
1002310|Abbotsford Farmers Market||1011 East Spruce St.|Abbotsford|Clark|Wisconsin|54405|May - October Tuesday 1:30 PM to 5:30 PM|-90.307145|44.945665|Private business parking lot|N|Y|N|Y|N|Y|N|Y|Y|N|N|Y|Y|Y|Y|Y|N|Y|N|Y|N|N|N|Y|N|5/7/2012 10:47:54 AM
22000803|Abbott Northwestern Farmers Market|http://www.iatp.org/minimarkets|800 E 28th St|Minneapolis|Hennepin|Minnesota|||-93.2629|44.9556||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|May 26 2010 11:24PM
22002873|Aberdeen Farmers Market|http://www.dakotaflavor.com/category.asp?catid=12|2nd Ave., S.E. & S. Lincoln Street|Aberdeen|Brown|South Dakota|57401||-98.4866|45.4631||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
22001493|Abilene Farmers Market||East 1st & Buckeye St.|Abilene|Dickinson|Kansas|67410||-97.2139|38.9153||N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|2009
1004338|Abingdon Farmers Market|http://www.abingdonfarmersmarket.com|Remsburg Drive and Cummings Street|Abingdon|Washington|Virginia|24210|April - August Tuesday 3:00 PM to 6:00 PM, Saturday 7:00 AM to 12:00 PM September - November Tuesday 3:00 PM to 6:00 PM, Saturday 8:00 AM to 12:00 PM December Saturday 10:00 AM to 12:00 PM|-81.977406|36.708734|Local government building grounds|N|N|N|Y|Y|Y|Y|Y|Y|Y|N|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|Y|5/30/2012 12:25:04 PM
